seed,train_fraction,mae_baseline,mae_augmented,mae_delta_aug_minus_base,rmse_baseline,rmse_augmented,rmse_delta_aug_minus_base,r2_baseline,r2_augmented,r2_delta_aug_minus_base,spearman_baseline,spearman_augmented,spearman_delta_aug_minus_base
0,0.01,16.58285757960093,14.863605212283254,-1.7192523673176758,20.647761063347748,18.96463364966533,-1.683127413682417,0.4378381003093285,0.5257532192039402,0.08791511889461173,0.6653742905569467,0.7365224067479773,0.07114811619103056
0,0.05,11.242544205819415,11.228099476795908,-0.014444729023507463,15.410136141627056,15.119664890315107,-0.2904712513119492,0.6868672966357116,0.6985607450980096,0.011693448462298028,0.8294245698850661,0.8327612443713375,0.003336674486271396
0,0.1,9.795814597937795,9.672724980022569,-0.12308961791522677,13.244520450773123,13.124373995138004,-0.12014645563511905,0.768693438378967,0.7728709566841014,0.004177518305134464,0.8676260090981126,0.8673659670742325,-0.00026004202388008046
0,0.2,7.902898399643223,,,10.971542583456078,,,0.8412729800955722,,,0.9027970068883124,,
0,0.5,5.868105352863369,,,8.377851642992928,,,0.9074490656919512,,,0.9427499368790724,,
1,0.01,17.172640177065677,16.914068614310686,-0.25857156275499094,21.92174929983237,21.594740409957712,-0.3270088898746586,0.39347061356082,0.4114309657446396,0.017960352183819583,0.7292631383111146,0.7140301699564385,-0.015232968354676024
1,0.05,12.342318603289549,12.38265270993565,0.040334106646101375,16.55774246979803,15.971193720330456,-0.586548749467573,0.6539780248553229,0.678059074195633,0.02408104934031019,0.8122593355865017,0.8286277769457437,0.016368441359242092
1,0.1,10.513744277920988,10.402978810434693,-0.11076546748629568,14.883098144184174,14.1082265078391,-0.7748716363450736,0.7204315715997038,0.7487845872227237,0.02835301562301984,0.8443472858710793,0.8627513227611603,0.018404036890080966
1,0.2,8.278635127001932,,,12.4617201901607,,,0.8039993891283472,,,0.8886089032812491,,
1,0.5,6.118204065584861,,,8.880818737719686,,,0.9004577516913692,,,0.9416886969545512,,
2,0.01,16.550916179022707,14.647351277764097,-1.9035649012586102,20.68056536152383,18.55269059864528,-2.127874762878548,0.4199452432971553,0.5331708335714247,0.11322559027426937,0.7029881709700735,0.7470226149899842,0.044034444019910746
2,0.05,10.244078447893262,10.131578510930442,-0.1124999369628199,14.331114808580864,14.21153649848636,-0.11957831009450359,0.7214493806264612,0.7260784202856463,0.004629039659185041,0.8584009908781126,0.8602982725254759,0.001897281647363247
2,0.1,8.903939611971039,9.214136358618434,0.3101967466473958,12.428742500120634,12.484761121913824,0.05601862179318928,0.7904929900270639,0.7886001609223999,-0.001892829104663929,0.8982995657675791,0.8945830814975584,-0.0037164842700206924
2,0.2,7.388461782068456,,,10.565779896696446,,,0.8485925320082873,,,0.927407194259926,,
2,0.5,5.227920574452163,,,7.69374918265114,,,0.9197176223094728,,,0.9591121099132092,,
3,0.01,18.968947937508123,16.668975613396803,-2.2999723241113195,23.77310236097764,20.813408240677337,-2.959694120300302,0.2799442945581152,0.448074092181822,0.16812979762370678,0.5503922950425927,0.6927776948759221,0.14238539983332943
3,0.05,11.153958847441457,10.855568419916914,-0.29839042752454326,14.838119806132346,14.265209449591394,-0.5729103565409517,0.7194875625217979,0.7407309475698697,0.021243385048071772,0.8541249468079303,0.8659091191984006,0.01178417239047036
3,0.1,9.683216991282322,10.00595474439212,0.3227377531097986,13.692595252617505,13.437950074505173,-0.254645178112332,0.7611276309090029,0.7699297726026024,0.008802141693599497,0.8720289501444871,0.8797741075454197,0.007745157400932623
3,0.2,8.019202007213325,,,11.661122593265356,,,0.8267492603183624,,,0.9011612431597418,,
3,0.5,5.576583093195739,,,8.33527426091497,,,0.9114814759756356,,,0.94952323233365,,
4,0.01,19.02167244643575,18.119658501602785,-0.9020139448329658,23.814272922587943,22.42833459346151,-1.3859383291264322,0.2745569008202,0.3565382235902431,0.08198132277004311,0.5892817566052866,0.6514731029581563,0.062191346352869714
4,0.05,11.99052657693474,11.732705962058873,-0.25782061487586816,15.709478216159292,15.398265685373774,-0.311212530785518,0.6843162539541341,0.6967000642606541,0.012383810306520027,0.8407224708452423,0.8534163689062171,0.012693898060974762
4,0.1,10.24306725368054,10.080317718200009,-0.16274953548053084,13.890296800685636,13.377447388254856,-0.5128494124307803,0.7531962512627106,0.7710844978957232,0.017888246633012583,0.8677111355033881,0.8834177738443358,0.015706638340947765
4,0.2,8.18071184447468,,,11.52915815305667,,,0.8299706501473912,,,0.9145637881909396,,
4,0.5,5.677790705318224,,,8.4713413617939,,,0.9082020324867496,,,0.951179887615473,,
